C-A10-0;C-B00-0;C-C11-0;F-ISIS-568
A10-1982;B00-1;C11-1;129951
A10-1982;B00-1;C11-2;140571
A10-1982;B00-1;Total;270522
A10-1982;B00-2;C11-1;258738
A10-1982;B00-2;C11-2;279179
A10-1982;B00-2;Total;537917
A10-1982;B00-3;C11-1;687036
A10-1982;B00-3;C11-2;749121
A10-1982;B00-3;Total;1436157
A10-1982;B00-4;C11-1;612958
A10-1982;B00-4;C11-2;663793
A10-1982;B00-4;Total;1276751
A10-1982;B00-5;C11-1;212673
A10-1982;B00-5;C11-2;233449
A10-1982;B00-5;Total;446122
A10-1982;B00-6;C11-1;568402
A10-1982;B00-6;C11-2;620450
A10-1982;B00-6;Total;1188852
A10-1982;B00-7;C11-1;285297
A10-1982;B00-7;C11-2;306201
A10-1982;B00-7;Total;591498
A10-1982;B00-8;C11-1;149713
A10-1982;B00-8;C11-2;156976
A10-1982;B00-8;Total;306689
A10-1982;B00-9;C11-1;681669
A10-1982;B00-9;C11-2;837963
A10-1982;B00-9;Total;1519632
A10-1982;Total;C11-1;3586437
A10-1982;Total;C11-2;3987703
A10-1982;Total;Total;7574140
A10-1983;B00-1;C11-1;129647
A10-1983;B00-1;C11-2;140315
A10-1983;B00-1;Total;269962
A10-1983;B00-2;C11-1;259543
A10-1983;B00-2;C11-2;279864
A10-1983;B00-2;Total;539407
A10-1983;B00-3;C11-1;686146
A10-1983;B00-3;C11-2;747100
A10-1983;B00-3;Total;1433246
A10-1983;B00-4;C11-1;613724
A10-1983;B00-4;C11-2;664284
A10-1983;B00-4;Total;1278008
A10-1983;B00-5;C11-1;214001
A10-1983;B00-5;C11-2;235140
A10-1983;B00-5;Total;449141
A10-1983;B00-6;C11-1;566600
A10-1983;B00-6;C11-2;618230
A10-1983;B00-6;Total;1184830
A10-1983;B00-7;C11-1;287085
A10-1983;B00-7;C11-2;307886
A10-1983;B00-7;Total;594971
A10-1983;B00-8;C11-1;149859
A10-1983;B00-8;C11-2;157229
A10-1983;B00-8;Total;307088
A10-1983;B00-9;C11-1;676401
A10-1983;B00-9;C11-2;828856
A10-1983;B00-9;Total;1505257
A10-1983;Total;C11-1;3583006
A10-1983;Total;C11-2;3978904
A10-1983;Total;Total;7561910
A10-1984;B00-1;C11-1;129494
A10-1984;B00-1;C11-2;140155
A10-1984;B00-1;Total;269649
A10-1984;B00-2;C11-1;260041
A10-1984;B00-2;C11-2;280329
A10-1984;B00-2;Total;540370
A10-1984;B00-3;C11-1;686901
A10-1984;B00-3;C11-2;746635
A10-1984;B00-3;Total;1433536
A10-1984;B00-4;C11-1;614890
A10-1984;B00-4;C11-2;664850
A10-1984;B00-4;Total;1279740
A10-1984;B00-5;C11-1;215433
A10-1984;B00-5;C11-2;236773
A10-1984;B00-5;Total;452206
A10-1984;B00-6;C11-1;565917
A10-1984;B00-6;C11-2;616892
A10-1984;B00-6;Total;1182809
A10-1984;B00-7;C11-1;288549
A10-1984;B00-7;C11-2;309416
A10-1984;B00-7;Total;597965
A10-1984;B00-8;C11-1;150242
A10-1984;B00-8;C11-2;157557
A10-1984;B00-8;Total;307799
A10-1984;B00-9;C11-1;674303
A10-1984;B00-9;C11-2;823057
A10-1984;B00-9;Total;1497360
A10-1984;Total;C11-1;3585770
A10-1984;Total;C11-2;3975664
A10-1984;Total;Total;7561434
A10-1985;B00-1;C11-1;129482
A10-1985;B00-1;C11-2;140053
A10-1985;B00-1;Total;269535
A10-1985;B00-2;C11-1;260270
A10-1985;B00-2;C11-2;280499
A10-1985;B00-2;Total;540769
A10-1985;B00-3;C11-1;688353
A10-1985;B00-3;C11-2;746515
A10-1985;B00-3;Total;1434868
A10-1985;B00-4;C11-1;616167
A10-1985;B00-4;C11-2;665396
A10-1985;B00-4;Total;1281563
A10-1985;B00-5;C11-1;216808
A10-1985;B00-5;C11-2;238304
